Year,State,County,Office,Party,Votes
2018,AZ,Apache County,US Senator,Democratic,16298
2018,AZ,Apache County,US Senator,Republican,7810
2018,AZ,Cochise County,US Senator,Democratic,17383
2018,AZ,Cochise County,US Senator,Republican,26929
2018,AZ,Coconino County,US Senator,Democratic,34240
2018,AZ,Coconino County,US Senator,Republican,19249
2018,AZ,Gila County,US Senator,Democratic,7643
2018,AZ,Gila County,US Senator,Republican,12180
2018,AZ,Graham County,US Senator,Democratic,3368
2018,AZ,Graham County,US Senator,Republican,6870
2018,AZ,La Paz County,US Senator,Democratic,1609
2018,AZ,La Paz County,US Senator,Republican,3265
2018,AZ,Maricopa County,US Senator,Democratic,732671
2018,AZ,Maricopa County,US Senator,Republican,672505
2018,AZ,Mohave County,US Senator,Democratic,19214
2018,AZ,Mohave County,US Senator,Republican,50209
2018,AZ,Navajo County,US Senator,Democratic,16624
2018,AZ,Navajo County,US Senator,Republican,18767
2018,AZ,Pima County,US Senator,Democratic,221242
2018,AZ,Pima County,US Senator,Republican,160550
2018,AZ,Santa Cruz County,US Senator,Democratic,9241
2018,AZ,Santa Cruz County,US Senator,Republican,3828
2018,AZ,Yavapai County,US Senator,Democratic,40160
2018,AZ,Yavapai County,US Senator,Republican,65308
2018,CT,Fairfield County,US Senator,Democratic,210899
2018,CT,Fairfield County,US Senator,Republican,131321
2018,CT,Hartford County,US Senator,Democratic,203591
2018,CT,Hartford County,US Senator,Republican,123864
2018,CT,Middlesex County,US Senator,Democratic,42383
2018,CT,Middlesex County,US Senator,Republican,32836
2018,CT,New Haven County,US Senator,Democratic,179714
2018,CT,New Haven County,US Senator,Republican,126004
2018,CT,Tolland County,US Senator,Democratic,34732
2018,CT,Tolland County,US Senator,Republican,28046
2018,CT,Windham County,US Senator,Democratic,20490
2018,CT,Windham County,US Senator,Republican,19032
2018,DE,Sussex County,US Senator,Republican,50391
2018,DE,Sussex County,US Senator,Democratic,40675
2018,FL,Alachua County,US Senator,Democratic,74493
2018,FL,Alachua County,US Senator,Republican,40599
2018,FL,Baker County,US Senator,Democratic,1945
2018,FL,Baker County,US Senator,Republican,8579
2018,FL,Bay County,US Senator,Democratic,16723
2018,FL,Bay County,US Senator,Republican,46681
2018,FL,Bradford County,US Senator,Democratic,2879
2018,FL,Bradford County,US Senator,Republican,7576
2018,FL,Brevard County,US Senator,Democratic,121112
2018,FL,Brevard County,US Senator,Republican,160305
2018,FL,Broward County,US Senator,Democratic,472239
2018,FL,Broward County,US Senator,Republican,211397
2018,FL,Charlotte County,US Senator,Democratic,33525
2018,FL,Charlotte County,US Senator,Republican,52916
2018,FL,Citrus County,US Senator,Democratic,22660
2018,FL,Citrus County,US Senator,Republican,48008
2018,FL,Collier County,US Senator,Democratic,54390
2018,FL,Collier County,US Senator,Republican,101266
2018,FL,Desoto County,US Senator,Democratic,3328
2018,FL,Desoto County,US Senator,Republican,5503
2018,FL,Dixie County,US Senator,Democratic,1322
2018,FL,Dixie County,US Senator,Republican,4442
2018,FL,Duval County,US Senator,Democratic,192381
2018,FL,Duval County,US Senator,Republican,185904
2018,FL,Escambia County,US Senator,Democratic,52891
2018,FL,Escambia County,US Senator,Republican,75947
2018,FL,Flagler County,US Senator,Democratic,21419
2018,FL,Flagler County,US Senator,Republican,31467
2018,FL,Franklin County,US Senator,Democratic,2011
2018,FL,Franklin County,US Senator,Republican,3404
2018,FL,Gadsden County,US Senator,Democratic,13945
2018,FL,Gadsden County,US Senator,Republican,6051
2018,FL,Gilchrist County,US Senator,Democratic,1633
2018,FL,Gilchrist County,US Senator,Republican,5703
2018,FL,Glades County,US Senator,Democratic,1156
2018,FL,Glades County,US Senator,Republican,2666
2018,FL,Gulf County,US Senator,Democratic,1580
2018,FL,Gulf County,US Senator,Republican,4321
2018,FL,Hamilton County,US Senator,Democratic,1671
2018,FL,Hamilton County,US Senator,Republican,2856
2018,FL,Hendry County,US Senator,Democratic,3542
2018,FL,Hendry County,US Senator,Republican,5304
2018,FL,Hillsborough County,US Senator,Democratic,281661
2018,FL,Hillsborough County,US Senator,Republican,239641
2018,FL,Holmes County,US Senator,Democratic,856
2018,FL,Holmes County,US Senator,Republican,5919
2018,FL,Indian River County,US Senator,Democratic,29195
2018,FL,Indian River County,US Senator,Republican,44798
2018,FL,Jackson County,US Senator,Democratic,5182
2018,FL,Jackson County,US Senator,Republican,10791
2018,FL,Lafayette County,US Senator,Democratic,623
2018,FL,Lafayette County,US Senator,Republican,2195
2018,FL,Lake County,US Senator,Democratic,61402
2018,FL,Lake County,US Senator,Republican,93537
2018,FL,Leon County,US Senator,Democratic,91097
2018,FL,Leon County,US Senator,Republican,48767
2018,FL,Madison County,US Senator,Democratic,3425
2018,FL,Madison County,US Senator,Republican,4184
2018,FL,Manatee County,US Senator,Democratic,68877
2018,FL,Manatee County,US Senator,Republican,94390
2018,FL,Marion County,US Senator,Democratic,59025
2018,FL,Marion County,US Senator,Republican,95592
2018,FL,Martin County,US Senator,Democratic,30691
2018,FL,Martin County,US Senator,Republican,46733
2018,FL,Miami-Dade County,US Senator,Democratic,485496
2018,FL,Miami-Dade County,US Senator,Republican,316020
2018,FL,Monroe County,US Senator,Democratic,18051
2018,FL,Monroe County,US Senator,Republican,18035
2018,FL,Nassau County,US Senator,Democratic,11703
2018,FL,Nassau County,US Senator,Republican,31795
2018,FL,Okeechobee County,US Senator,Democratic,3496
2018,FL,Okeechobee County,US Senator,Republican,7727
2018,FL,Orange County,US Senator,Democratic,294308
2018,FL,Orange County,US Senator,Republican,180763
2018,FL,Osceola County,US Senator,Democratic,67123
2018,FL,Osceola County,US Senator,Republican,47898
2018,FL,Pinellas County,US Senator,Democratic,228712
2018,FL,Pinellas County,US Senator,Republican,205935
2018,FL,Polk County,US Senator,Democratic,105748
2018,FL,Polk County,US Senator,Republican,138751
2018,FL,Putnam County,US Senator,Democratic,9344
2018,FL,Putnam County,US Senator,Republican,18689
2018,FL,Santa Rosa County,US Senator,Democratic,19047
2018,FL,Santa Rosa County,US Senator,Republican,56374
2018,FL,Sarasota County,US Senator,Democratic,96973
2018,FL,Sarasota County,US Senator,Republican,113585
2018,FL,Seminole County,US Senator,Democratic,101504
2018,FL,Seminole County,US Senator,Republican,97457
2018,FL,St. Johns County,US Senator,Democratic,45638
2018,FL,St. Johns County,US Senator,Republican,85031
2018,FL,St. Lucie County,US Senator,Democratic,63978
2018,FL,St. Lucie County,US Senator,Republican,59612
2018,FL,Suwannee County,US Senator,Democratic,4044
2018,FL,Suwannee County,US Senator,Republican,11842
2018,FL,Taylor County,US Senator,Democratic,2263
2018,FL,Taylor County,US Senator,Republican,5638
2018,FL,Union County,US Senator,Democratic,1197
2018,FL,Union County,US Senator,Republican,3650
2018,FL,Wakulla County,US Senator,Democratic,4868
2018,FL,Wakulla County,US Senator,Republican,9322
2018,FL,Walton County,US Senator,Democratic,7485
2018,FL,Walton County,US Senator,Republican,22776
2018,FL,Washington County,US Senator,Democratic,1959
2018,FL,Washington County,US Senator,Republican,7101
2018,HI,Hawaii County,US Senator,Democratic,43348
2018,HI,Hawaii County,US Senator,Republican,15031
2018,HI,Honolulu County,US Senator,Democratic,176705
2018,HI,Honolulu County,US Senator,Republican,79503
2018,HI,Kauai County,US Senator,Democratic,18510
2018,HI,Kauai County,US Senator,Republican,6120
2018,HI,Maui County,US Senator,Democratic,37753
2018,HI,Maui County,US Senator,Republican,11381
2018,IN,Adams County,US Senator,Democratic,3146
2018,IN,Adams County,US Senator,Republican,7511
2018,IN,Allen County,US Senator,Democratic,55903
2018,IN,Allen County,US Senator,Republican,65927
2018,IN,Blackford County,US Senator,Democratic,1275
2018,IN,Blackford County,US Senator,Republican,2303
2018,IN,Boone County,US Senator,Democratic,10981
2018,IN,Boone County,US Senator,Republican,15540
2018,IN,Carroll County,US Senator,Democratic,2071
2018,IN,Carroll County,US Senator,Republican,4518
2018,IN,Cass County,US Senator,Democratic,4061
2018,IN,Cass County,US Senator,Republican,6617
2018,IN,Clark County,US Senator,Democratic,18551
2018,IN,Clark County,US Senator,Republican,22766
2018,IN,Clay County,US Senator,Democratic,2601
2018,IN,Clay County,US Senator,Republican,6207
2018,IN,Crawford County,US Senator,Democratic,1504
2018,IN,Crawford County,US Senator,Republican,2252
2018,IN,Dearborn County,US Senator,Democratic,4481
2018,IN,Dearborn County,US Senator,Republican,13287
2018,IN,Decatur County,US Senator,Democratic,2287
2018,IN,Decatur County,US Senator,Republican,6246
2018,IN,Dekalb County,US Senator,Democratic,4204
